headline,description,keyword_set,keyword_type,type,segment,placement,similarity_score,bigram_score
Master React in 16 weeks,Build 5+ industry projects,"data science jobs, full stack developer, coding bootcamp",core,winner-like,Graduates,search,0.65,0.8
Master React in 16 weeks,Build 5+ industry projects,"career change, learn programming, tech jobs",problem-aware,winner-like,Graduates,search,0.65,0.8
Master React in 16 weeks,Build 5+ industry projects,"free course, part time, executive",negative,winner-like,Graduates,search,0.65,0.8
React Job Ready Program,Get placement support included,"data science jobs, full stack developer, coding bootcamp",core,winner-like,Graduates,search,0.65,0.8
React Job Ready Program,Get placement support included,"career change, learn programming, tech jobs",problem-aware,winner-like,Graduates,search,0.65,0.8
React Job Ready Program,Get placement support included,"free course, part time, executive",negative,winner-like,Graduates,search,0.65,0.8
Land Developer Jobs Fast,Learn from industry experts,"data science jobs, full stack developer, coding bootcamp",core,winner-like,Graduates,search,0.65,0.8
Land Developer Jobs Fast,Learn from industry experts,"career change, learn programming, tech jobs",problem-aware,winner-like,Graduates,search,0.65,0.8
Land Developer Jobs Fast,Learn from industry experts,"free course, part time, executive",negative,winner-like,Graduates,search,0.65,0.8
Build 5+ Real Projects,Join live cohort sessions,"data science jobs, full stack developer, coding bootcamp",core,winner-like,Graduates,search,0.65,0.8
Build 5+ Real Projects,Join live cohort sessions,"career change, learn programming, tech jobs",problem-aware,winner-like,Graduates,search,0.65,0.8
Build 5+ Real Projects,Join live cohort sessions,"free course, part time, executive",negative,winner-like,Graduates,search,0.65,0.8
Get React Certified,Master interview preparation,"data science jobs, full stack developer, coding bootcamp",core,explorer,Graduates,search,0.42,0.6
Get React Certified,Master interview preparation,"career change, learn programming, tech jobs",problem-aware,explorer,Graduates,search,0.42,0.6
Get React Certified,Master interview preparation,"free course, part time, executive",negative,explorer,Graduates,search,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"data science jobs, full stack developer, coding bootcamp",core,explorer,Graduates,search,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"career change, learn programming, tech jobs",problem-aware,explorer,Graduates,search,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"free course, part time, executive",negative,explorer,Graduates,search,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"data science jobs, full stack developer, coding bootcamp",core,explorer,Graduates,search,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"career change, learn programming, tech jobs",problem-aware,explorer,Graduates,search,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"free course, part time, executive",negative,explorer,Graduates,search,0.42,0.6
