creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag
C1,EdTech;Productivity,Career roadmap for aspiring data scientists in 2024,1.8,500,7,1,1,0,0,INDIA,English,deep-dive
C2,Analytics,SQL essentials for data analysis - from basics to advanced queries,13.8,4058,111,6,3,1,0,INDIA,English,tutorial;interview;case-study
C3,EdTech,SQL essentials for data analysis - from basics to advanced queries,4.0,1076,24,2,1,0,0,INDIA,English,how-to
C4,Programming;Health,Complete Python tutorial for data science beginners with practical examples,10.9,14159,364,25,16,7,0,INDIA,English,interview
C5,Statistics,SQL essentials for data analysis - from basics to advanced queries,4.2,500,9,1,1,0,0,INDIA,English,tips
C6,SQL;Gaming,Feature engineering techniques for better machine learning models,12.4,7328,143,10,5,1,0,INDIA,English,tips
C7,SQL,Essential tools every data scientist should know,2.7,1020,28,1,1,0,0,INDIA,English,case-study;deep-dive
C8,Data Science;Finance,Career roadmap for aspiring data scientists in 2024,4.1,2653,63,4,2,0,0,INDIA,English,tips;tutorial
C9,Travel,UI/UX design principles for beginners,9.1,1708,25,1,1,0,0,INDIA,English,interview;tips
C10,Crypto;Career Advice,Fitness routines for desk workers,7.8,14020,181,8,1,0,0,INDIA,English,advanced;tips;how-to
C11,Web Dev,Budget travel guide across India,12.5,10760,207,4,2,0,0,INDIA,English,tips
C12,Data Science,SQL essentials for data analysis - from basics to advanced queries,3.9,1322,28,1,1,0,0,INDIA,English,advanced
C13,Data Science,Career roadmap for aspiring data scientists in 2024,10.6,4216,105,8,5,1,0,INDIA,English,tutorial
C14,AI Tools;Crypto,Feature engineering techniques for better machine learning models,4.5,2401,63,3,1,0,0,INDIA,English,interview
C15,SQL;Productivity,Complete Python tutorial for data science beginners with practical examples,5.1,1944,44,2,1,0,0,INDIA,English,deep-dive;review
C16,Design;SQL,Healthy cooking recipes for busy professionals,6.1,522,3,1,1,0,0,INDIA,English,case-study
C17,Marketing,Gaming industry insights and career opportunities,9.4,7729,161,3,1,0,0,INDIA,English,practical
C18,Career Advice;Design,"Statistics for data science - probability, distributions, and hypothesis testing",5.9,1057,25,1,1,0,0,INDIA,English,interview;deep-dive
C19,Machine Learning,SQL essentials for data analysis - from basics to advanced queries,6.7,11206,271,17,9,3,0,INDIA,English,beginner-friendly;interview;review
C20,Travel,Web development trends and best practices,13.6,6305,58,3,1,0,0,INDIA,English,tips
C21,Health;Data Science,Productivity hacks for remote workers,7.7,500,4,1,1,0,0,INDIA,English,practical;beginner-friendly
C22,SQL,Career roadmap for aspiring data scientists in 2024,11.2,16007,383,20,11,4,0,INDIA,English,case-study;interview;deep-dive
C23,EdTech,Breaking into data science without a technical background,12.5,5183,106,7,3,1,0,INDIA,English,tutorial
C24,Machine Learning,Breaking into data science without a technical background,10.9,3925,100,6,2,0,0,INDIA,English,case-study
