creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag
EDU_0001,React,"AWS cloud computing: EC2, S3, Lambda, and serverless architecture implementation guide",4,30825,1570,305,274,186,7,INDIA,English,beginner-friendly
EDU_0002,React;Node.js,"Career transition to tech: portfolio building, networking, and landing your first developer job",6,5912,186,22,14,9,0,INDIA,Telugu,quick-start
EDU_0003,Algorithms,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",6,12620,400,36,20,11,0,INDIA,English,beginner-friendly
EDU_0004,Software Engineering,Frontend development with React and Redux: building scalable web applications with modern practices,5,24916,769,83,53,29,0,INDIA,Telugu,beginner-friendly
EDU_0005,DevOps,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,4,25000,754,101,71,40,4,INDIA,English,practical
EDU_0006,Java,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",2,2458,76,9,6,2,0,INDIA,Hindi,project-based;step-by-step
EDU_0007,C++;MongoDB,Full-stack development bootcamp: MERN stack with authentication and deployment strategies,3,50170,1418,148,110,58,1,INDIA,Hindi,quick-start
EDU_0008,Career Guidance;JavaScript,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,4,46232,1803,268,218,134,11,INDIA,Hindi,interview-prep
EDU_0009,Interview Preparation,"Career transition to tech: portfolio building, networking, and landing your first developer job",6,13201,367,60,54,28,3,INDIA,Telugu,tutorial;career-guidance
EDU_0010,Python,React Native mobile development: cross-platform apps with navigation and state management,6,7161,194,32,21,10,0,INDIA,Hindi,beginner-friendly
EDU_0011,Analytics;Artificial Intelligence,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",3,52983,1149,158,108,41,3,INDIA,Telugu,theory;career-guidance
EDU_0012,DevOps,Frontend development with React and Redux: building scalable web applications with modern practices,4,4873,236,40,26,13,0,INDIA,English,tutorial
EDU_0013,Django;Interview Preparation,"Data analysis with Python: exploratory data analysis, visualization with matplotlib and seaborn",5,15519,848,167,131,92,10,INDIA,English,beginner-friendly
EDU_0014,Interview Preparation,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,3,43479,2343,476,395,291,21,INDIA,English,theory;beginner-friendly
EDU_0015,Interview Preparation,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,5,20852,993,154,138,91,4,INDIA,English,quick-start
EDU_0016,PostgreSQL;Backend Development,Data structures and algorithms: coding interview preparation with 200+ practice problems,1,76551,4681,1170,1053,789,19,INDIA,English,hands-on;theory
EDU_0017,Analytics,Web development portfolio: 10 projects to showcase your skills and impress employers,4,23609,1033,116,85,45,1,INDIA,Hindi,theory
EDU_0018,Deep Learning,"SQL for data analysis: advanced queries, window functions, and database optimization techniques",3,5576,241,18,15,8,0,INDIA,Hindi,quick-start
EDU_0019,Analytics,"Database design fundamentals: normalization, indexing, and performance optimization strategies",3,47783,1550,140,61,37,1,INDIA,Hindi,theory;tutorial
EDU_0020,Deep Learning,"AWS cloud computing: EC2, S3, Lambda, and serverless architecture implementation guide",2,25000,817,111,85,52,1,INDIA,Hindi,practical
EDU_0021,Algorithms,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",4,29388,1048,147,97,58,6,INDIA,English,advanced
EDU_0022,Mobile Development;C++,"Database design fundamentals: normalization, indexing, and performance optimization strategies",3,20325,834,118,106,65,5,INDIA,English,step-by-step
EDU_0023,Artificial Intelligence,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",2,50206,1732,225,158,82,5,INDIA,English,hands-on
EDU_0024,JavaScript,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,4,21166,864,124,99,53,3,INDIA,Telugu,career-guidance;practical
EDU_0025,Interview Preparation,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,14,26501,845,61,43,24,1,INDIA,English,theory
EDU_0026,Web Development,"Software engineering best practices: clean code, testing, and agile development methodologies",2,338776,14985,2291,1587,850,18,INDIA,Hindi,interview-prep
EDU_0027,System Design,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,4,16769,507,40,31,16,0,INDIA,Hindi,beginner-friendly
EDU_0028,Coding Practice,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,1,50000,2131,280,209,115,8,INDIA,English,beginner-friendly;project-based
EDU_0029,PostgreSQL,Deep learning with PyTorch and TensorFlow: computer vision and NLP projects from scratch,4,63715,2866,429,386,289,6,INDIA,English,theory
EDU_0030,Backend Development;Node.js,"Software engineering best practices: clean code, testing, and agile development methodologies",2,30505,1283,220,188,123,8,INDIA,English,quick-start
EDU_0031,Programming Fundamentals,"Data Science career roadmap 2024: statistics, pandas, machine learning, and real industry projects",2,51410,2035,272,182,126,3,INDIA,English,tutorial;beginner-friendly
EDU_0032,Data Science,React Native mobile development: cross-platform apps with navigation and state management,5,7904,405,60,50,36,2,INDIA,English,hands-on
EDU_0033,Cloud Computing,Data structures and algorithms: coding interview preparation with 200+ practice problems,2,34673,972,123,85,44,3,INDIA,Hindi,practical;quick-start
EDU_0034,Java,Full-stack development bootcamp: MERN stack with authentication and deployment strategies,2,61831,2228,299,228,131,13,INDIA,Telugu,hands-on
EDU_0035,DevOps,"JavaScript complete guide: ES6+, async programming, DOM manipulation, and modern frameworks",3,9871,436,53,40,24,1,INDIA,English,quick-start
EDU_0036,Career Guidance,"JavaScript complete guide: ES6+, async programming, DOM manipulation, and modern frameworks",5,3234,127,17,13,9,0,INDIA,Hindi,step-by-step
EDU_0037,Career Guidance,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,4,16468,714,86,62,30,2,INDIA,Telugu,career-guidance;comprehensive
EDU_0038,Backend Development,"Data analysis with Python: exploratory data analysis, visualization with matplotlib and seaborn",5,23776,742,83,56,28,2,INDIA,English,project-based
EDU_0039,MongoDB;SQL,Frontend development with React and Redux: building scalable web applications with modern practices,3,30917,1859,358,322,239,8,INDIA,English,step-by-step
EDU_0040,PostgreSQL;Java,"Software engineering best practices: clean code, testing, and agile development methodologies",2,3288,182,38,34,25,1,INDIA,English,practical
EDU_0041,Artificial Intelligence,"Career transition to tech: portfolio building, networking, and landing your first developer job",2,25000,1311,247,190,112,3,INDIA,English,career-guidance;interview-prep
EDU_0042,Python,Frontend development with React and Redux: building scalable web applications with modern practices,2,22002,1342,283,254,184,8,INDIA,English,practical
EDU_0043,Python;Programming Fundamentals,"Database design fundamentals: normalization, indexing, and performance optimization strategies",2,69342,3203,448,341,255,11,INDIA,Telugu,hands-on;quick-start
EDU_0044,System Design,Data structures and algorithms: coding interview preparation with 200+ practice problems,3,50000,2422,346,238,166,6,INDIA,English,career-guidance;theory
EDU_0045,Frontend Development,"Data Science career roadmap 2024: statistics, pandas, machine learning, and real industry projects",4,26149,1016,141,114,77,2,INDIA,English,theory;practical
EDU_0046,Software Engineering;C++,React Native mobile development: cross-platform apps with navigation and state management,2,73869,2861,249,222,119,13,INDIA,Hindi,interview-prep;career-guidance
EDU_0047,Mobile Development;SQL,"Data Science career roadmap 2024: statistics, pandas, machine learning, and real industry projects",2,95990,5980,876,728,546,48,INDIA,Hindi,career-guidance
EDU_0048,Web Development,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,4,11154,402,51,35,14,0,INDIA,Hindi,project-based;practical
EDU_0049,Java,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,6,7913,230,19,13,4,0,INDIA,Telugu,advanced
EDU_0050,Mobile Development,"Database design fundamentals: normalization, indexing, and performance optimization strategies",3,10944,435,61,48,27,0,INDIA,English,step-by-step
EDU_0051,React,Complete Python programming masterclass: from basics to advanced projects including web scraping and automation,2,50000,2745,456,383,277,31,INDIA,English,project-based;practical
EDU_0052,Programming Fundamentals;Node.js,Web development portfolio: 10 projects to showcase your skills and impress employers,5,58561,1429,143,99,55,2,INDIA,Telugu,interview-prep
EDU_0053,Machine Learning;MongoDB,"AWS cloud computing: EC2, S3, Lambda, and serverless architecture implementation guide",1,7481,532,118,97,72,8,INDIA,English,practical;project-based
EDU_0054,Artificial Intelligence,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,10,84960,1945,140,101,45,3,INDIA,Telugu,beginner-friendly;hands-on
