source,utm_source,utm_medium,utm_campaign,utm_term,utm_content,pageviews,device,country,region,city,program_interest,years_experience,current_role,salary_range,intent_text,avg_response_time_minutes,typical_objection,contacted_y,meeting_y,enrolled_y,lost_reason,lead_score,propensity_contact,propensity_meeting,propensity_enroll,expected_gmv_inr,expected_ltv_inr,cost_per_lead_inr,roi_expected,priority_bucket,time_to_first_touch_target_minutes
influencer,influencer,cpc,cloud_devops_kickoff,data+analytics+certificate,v1,3,desktop,IN,DL,Delhi,Machine Learning,4,working_professional,15L+,Looking to switch career in 3–6 months,29,authenticity,1,0,0,competitor,55,0.846,0.494,0.164,23713,26939,1141,20.78,B,51
email,email,cpc,data_analytics_fasttrack,data+analytics+certificate,longform,2,mobile,IN,MH,Mumbai,Machine Learning,2,student,15L+,Already coding; want advanced projects,76,time_commitment,1,0,0,timing,41,0.513,0.129,0.037,5061,6490,494,10.24,C,215
organic_search,organic_search,email,fsd_career_switch,machine+learning+bootcamp,carousel,2,mobile,IN,WB,Kolkata,Python,1,working_professional,<3L,Interested if EMI available and recorded sessions,15,schedule_conflict,1,0,0,timing,54,0.824,0.479,0.093,4568,5350,197,23.19,C,231
organic_search,organic_search,organic,ds_bootcamp_q3,machine+learning+bootcamp,v1,3,mobile,IN,GJ,Vadodara,Data Science,5,student,3–6L,Interested if EMI available and recorded sessions,37,schedule_conflict,1,1,1,,59,0.904,0.652,0.228,99830,115602,119,838.91,B,15
paid_social,paid_social,cpc,fsd_career_switch,machine+learning+bootcamp,text,3,mobile,IN,MH,Pune,Cloud & DevOps,4,working_professional,10–15L,Already coding; want advanced projects,45,time_commitment,1,1,0,timing,39,0.448,0.127,0.01,1194,1329,800,1.49,C,205
direct,direct,organic,ds_bootcamp_q3,data+science+course,v2,6,mobile,UK,SCT,Edinburgh,Data Science,6,freelancer,10–15L,Already coding; want advanced projects,14,schedule_conflict,1,1,0,timing,65,0.92,0.792,0.409,61022,72643,88,693.43,B,49
referral,referral,referral,cloud_devops_kickoff,data+science+course,longform,4,desktop,IN,TN,Coimbatore,Python,4,freelancer,3–6L,Interested if EMI available and recorded sessions,12,finance_options,1,1,1,,73,0.98,0.888,0.672,38311,46665,49,781.86,B,59
direct,direct,referral,cyber_jumpstart,cybersecurity+program,v1,4,mobile,IN,RJ,Jaipur,Machine Learning,5,working_professional,NA,Looking to switch career in 3–6 months,17,schedule_conflict,1,0,0,timing,59,0.891,0.603,0.234,33190,40352,95,349.37,B,20
affiliate,affiliate,cpc,fsd_career_switch,data+analytics+certificate,carousel,3,mobile,IN,WB,Kolkata,Data Analytics,2,working_professional,NA,New to field; need beginner-friendly curriculum,21,fees_high,1,1,0,budget,48,0.705,0.317,0.074,8131,10136,865,9.4,C,199
direct,direct,email,ml_advanced,python+course,text,6,desktop,IN,KA,Bengaluru,Cloud & DevOps,1,student,3–6L,Want a job-ready course with placement support,9,need_more_info,1,1,1,,65,0.949,0.755,0.368,130888,147449,71,1843.49,B,18
paid_search,paid_search,cpc,data_analytics_fasttrack,machine+learning+bootcamp,text,3,desktop,IN,TN,Coimbatore,Machine Learning,0,working_professional,3–6L,New to field; need beginner-friendly curriculum,31,need_more_info,1,1,0,research_only,57,0.894,0.586,0.154,15341,19449,2077,7.39,B,19
email,email,cpm,python_fundamentals,python+course,longform,4,desktop,SG,SG,Singapore,Machine Learning,4,working_professional,3–6L,Want a job-ready course with placement support,120,time_commitment,1,1,0,timing,46,0.69,0.239,0.037,5502,6658,218,25.24,C,158
paid_social,paid_social,cpc,ds_bootcamp_q3,devops+training,v2,2,mobile,UK,ENG,Manchester,Cloud & DevOps,5,unemployed,6–10L,Already coding; want advanced projects,29,need_more_info,1,1,0,research_only,44,0.634,0.206,0.043,6024,6735,1760,3.42,C,64
paid_social,paid_social,organic,cloud_devops_kickoff,full+stack+developer,v1,3,mobile,IN,GJ,Vadodara,Data Analytics,6,student,<3L,Want a job-ready course with placement support,36,not_ready,1,1,0,timing,50,0.733,0.375,0.079,5641,6587,1622,3.48,C,64
