creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag
C1,Finance;Data Science;Design,Breaking down a case study to learn Design efficiently,3.6,5000,94,26,15,5,0,United Kingdom,Hindi,vlog
C2,Productivity;SaaS;Travel,Five practical tips to improve your Productivity workflow,3.9,5000,91,14,9,3,0,India,French,how-to
C3,Data Science;Crypto;Web Dev,Five practical tips to improve your Crypto workflow,0.9,5000,45,9,4,1,0,France,French,comparison;quick-win;myth-busting
C4,Data Science;Marketing,Today we explore Marketing fundamentals and build a simple project,2.7,5000,32,6,4,1,0,United Kingdom,French,live-demo;tips;case-study
C5,Cooking,Beginner friendly roadmap for mastering Cooking,2.3,5000,57,17,10,2,0,South Africa,Portuguese,tips
C6,Gaming,Five practical tips to improve your Gaming workflow,1.5,5000,25,3,2,1,0,Indonesia,German,tutorial;live-demo;storytime
C7,Productivity,Beginner friendly roadmap for mastering Productivity,2.9,5000,31,4,2,1,0,Canada,German,comparison
C8,Finance,Common mistakes in Finance and how to fix them fast,0.9,5000,63,11,7,3,0,Spain,Portuguese,case-study;interview
C9,Web Dev;Design,Quick guide to getting started with Web Dev step by step,2.0,5000,85,20,13,5,0,Mexico,Spanish,comparison;storytime;tutorial
C10,Cooking;Design,Quick guide to getting started with Cooking step by step,1.6,5000,116,20,14,7,0,Spain,Portuguese,quick-win;myth-busting;vlog
C11,Health,Breaking down a case study to learn Health efficiently,3.4,5000,74,22,9,4,0,Canada,Portuguese,case-study;tutorial
C12,Cooking;Gaming,Breaking down a case study to learn Gaming efficiently,2.6,5000,25,5,3,1,0,United Kingdom,French,case-study
C13,Travel;SaaS;Cooking,Beginner friendly roadmap for mastering Travel,2.0,5000,102,20,11,4,0,Indonesia,Italian,vlog;review
C14,Finance,Real world use cases of Finance explained clearly,4.2,5000,65,10,4,2,0,United Kingdom,Indonesian,comparison
C15,EdTech;Gaming,Beginner friendly roadmap for mastering Gaming,3.0,5000,33,6,4,1,0,Spain,Hindi,case-study;myth-busting;how-to
C16,Health;Finance;Startups,Beginner friendly roadmap for mastering Startups,3.5,5000,80,16,9,1,0,United States,German,review;interview
