creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag
EDU_0001,React,Full-stack development bootcamp: MERN stack with authentication and deployment strategies,4,30825,1570,305,274,186,7,INDIA,English,beginner-friendly
EDU_0002,React;Node.js,React Native mobile development: cross-platform apps with navigation and state management,6,5912,186,22,14,9,0,INDIA,Telugu,quick-start
EDU_0003,Algorithms,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,3,4701,189,26,18,10,0,INDIA,Hindi,beginner-friendly
EDU_0004,Software Engineering,Full-stack development bootcamp: MERN stack with authentication and deployment strategies,5,57608,1778,193,124,69,2,INDIA,Telugu,beginner-friendly
EDU_0005,DevOps,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",4,25000,754,101,71,40,4,INDIA,English,practical
EDU_0006,Java,Data structures and algorithms: coding interview preparation with 200+ practice problems,5,9033,339,39,30,13,0,INDIA,English,project-based
EDU_0007,Web Development;Interview Preparation,Frontend development with React and Redux: building scalable web applications with modern practices,2,22835,1359,319,271,202,24,INDIA,English,theory
EDU_0008,Web Development,Frontend development with React and Redux: building scalable web applications with modern practices,2,50020,2003,216,181,83,6,INDIA,Hindi,interview-prep
EDU_0009,Algorithms;React,Data structures and algorithms: coding interview preparation with 200+ practice problems,4,20988,825,117,96,66,4,INDIA,Telugu,practical
EDU_0010,Artificial Intelligence,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,5,52497,1835,194,166,95,8,INDIA,English,career-guidance
EDU_0011,Web Development,Frontend development with React and Redux: building scalable web applications with modern practices,2,34407,1191,181,135,97,6,INDIA,Telugu,step-by-step
EDU_0012,Java,"Software engineering best practices: clean code, testing, and agile development methodologies",7,38779,1039,101,62,26,1,INDIA,Hindi,tutorial
EDU_0013,Django;Interview Preparation,"Career transition to tech: portfolio building, networking, and landing your first developer job",5,15519,848,167,131,92,10,INDIA,English,beginner-friendly
EDU_0014,Interview Preparation,System design interview masterclass: scalability patterns and distributed systems architecture,4,43479,2168,439,311,233,23,INDIA,English,theory
EDU_0015,Interview Preparation,System design interview masterclass: scalability patterns and distributed systems architecture,5,20852,993,154,138,91,4,INDIA,English,quick-start
EDU_0016,PostgreSQL;Backend Development,"Career transition to tech: portfolio building, networking, and landing your first developer job",1,76551,4824,1206,1085,813,54,INDIA,English,tutorial
EDU_0017,Software Engineering,"Software engineering best practices: clean code, testing, and agile development methodologies",3,54037,1705,211,161,89,6,INDIA,Telugu,career-guidance
EDU_0018,Web Development;Data Science,Full-stack development bootcamp: MERN stack with authentication and deployment strategies,1,74813,5218,1129,1016,762,68,INDIA,English,advanced;quick-start
EDU_0019,Data Structures,Web development portfolio: 10 projects to showcase your skills and impress employers,3,22732,855,94,73,41,1,INDIA,Telugu,step-by-step;beginner-friendly
EDU_0020,SQL;Cloud Computing,"Data Science career roadmap 2024: statistics, pandas, machine learning, and real industry projects",7,64180,1548,183,150,70,6,INDIA,Hindi,theory;tutorial
EDU_0021,Deep Learning,"Data Science career roadmap 2024: statistics, pandas, machine learning, and real industry projects",2,4947,208,28,22,14,0,INDIA,English,practical
EDU_0022,Algorithms,Coding interview bootcamp: problem-solving techniques and whiteboard coding strategies,4,66888,1752,213,180,77,7,INDIA,English,beginner-friendly;comprehensive
EDU_0023,Flask,"Backend development masterclass: Node.js, Express, MongoDB, and RESTful API design patterns",7,104372,3028,281,158,70,5,INDIA,Telugu,practical;comprehensive
EDU_0024,Artificial Intelligence,Deep learning with PyTorch and TensorFlow: computer vision and NLP projects from scratch,2,147030,6903,717,444,282,28,INDIA,English,comprehensive;practical
EDU_0025,Career Guidance;Django,"Career transition to tech: portfolio building, networking, and landing your first developer job",5,23598,1105,136,103,63,5,INDIA,Telugu,career-guidance;project-based
EDU_0026,DevOps;Mobile Development,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",2,25000,882,106,87,48,2,INDIA,Hindi,advanced;step-by-step
EDU_0027,Software Engineering,System design interview masterclass: scalability patterns and distributed systems architecture,3,15862,292,35,18,8,0,INDIA,Telugu,advanced;hands-on
EDU_0028,JavaScript,"JavaScript complete guide: ES6+, async programming, DOM manipulation, and modern frameworks",2,92421,4377,1094,870,652,58,INDIA,English,career-guidance
EDU_0029,PostgreSQL;Java,"Software engineering best practices: clean code, testing, and agile development methodologies",3,37631,1708,331,269,176,9,INDIA,Hindi,hands-on
EDU_0030,Cloud Computing,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",2,4958,167,22,17,10,0,INDIA,Hindi,theory
EDU_0031,MongoDB,"Career transition to tech: portfolio building, networking, and landing your first developer job",3,117545,4544,562,465,253,19,INDIA,Hindi,comprehensive;quick-start
EDU_0032,Flask,Complete Python programming masterclass: from basics to advanced projects including web scraping and automation,4,19872,655,76,53,28,1,INDIA,English,tutorial
EDU_0033,Data Science,"Data analysis with Python: exploratory data analysis, visualization with matplotlib and seaborn",5,5247,201,31,26,13,1,INDIA,Hindi,interview-prep
EDU_0034,DevOps;Backend Development,"AWS cloud computing: EC2, S3, Lambda, and serverless architecture implementation guide",2,53122,1827,220,149,91,8,INDIA,Hindi,practical;quick-start
EDU_0035,Java,"Software engineering best practices: clean code, testing, and agile development methodologies",2,41293,1770,289,234,155,15,INDIA,English,hands-on
EDU_0036,DevOps,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",3,11882,417,49,38,14,1,INDIA,Hindi,step-by-step;tutorial
EDU_0037,Python,Machine learning algorithms deep dive: linear regression to neural networks with Python implementation,4,13318,679,104,80,51,4,INDIA,Hindi,step-by-step
EDU_0038,Career Guidance,Web development portfolio: 10 projects to showcase your skills and impress employers,4,24454,926,135,90,54,4,INDIA,Hindi,career-guidance;comprehensive
EDU_0039,Backend Development,"Database design fundamentals: normalization, indexing, and performance optimization strategies",5,23407,707,79,62,28,2,INDIA,English,hands-on
EDU_0040,MongoDB,"Career transition to tech: portfolio building, networking, and landing your first developer job",3,21793,527,61,37,19,0,INDIA,Hindi,quick-start
EDU_0041,Analytics;Java,"Data analysis with Python: exploratory data analysis, visualization with matplotlib and seaborn",2,150000,6167,799,660,398,15,INDIA,English,hands-on
EDU_0042,System Design,"DevOps engineering essentials: Docker containers, Kubernetes orchestration, and CI/CD automation",2,40478,1448,249,193,130,13,INDIA,English,project-based;quick-start
EDU_0043,C++;Backend Development,Web development portfolio: 10 projects to showcase your skills and impress employers,5,66394,2034,273,188,86,4,INDIA,Telugu,career-guidance
EDU_0044,Database Management,Web development portfolio: 10 projects to showcase your skills and impress employers,4,17321,464,49,31,17,1,INDIA,Telugu,hands-on
EDU_0045,Data Structures,Web development portfolio: 10 projects to showcase your skills and impress employers,3,5031,241,27,24,15,1,INDIA,English,quick-start
EDU_0046,Django;C++,"Software engineering best practices: clean code, testing, and agile development methodologies",2,81307,3217,314,282,153,15,INDIA,Hindi,quick-start
EDU_0047,Deep Learning;Frontend Development,Deep learning with PyTorch and TensorFlow: computer vision and NLP projects from scratch,4,33210,1066,115,67,34,1,INDIA,Telugu,hands-on;advanced
EDU_0048,MongoDB,"Career transition to tech: portfolio building, networking, and landing your first developer job",3,50000,2207,277,213,154,4,INDIA,English,quick-start;project-based
